PLAYER,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TOV,FTA,FT%,2PA,2P%,3PA,3P%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,VI
Jahlil Okafor,Phi,C,21,38,23,47.9,22.9,0.12,121,0.612,352,0.511,0,0,0.535,11.4,4.8,11.5,1.1,8.2,0.37,1.08,6.8
Jake Layman,Por,SF,22,24,6.2,12.9,19.7,0.075,13,0.692,18,0.5,38,0.237,0.437,2.3,0.6,5.2,0.3,6.8,0.25,0.08,4.8
Jakob Poeltl,Tor,C,21,32,10.8,22.4,10.9,0.166,28,0.571,58,0.5,0,0,0.526,2.3,2.8,14.5,0.3,3.6,0.31,0.28,4.6
Jamal Crawford,Lac,SG,36,56,26.9,56,23.2,0.13,133,0.842,396,0.439,227,0.344,0.509,12.4,1.7,3.5,2.9,16.6,0.73,0.23,5.9
Jamal Murray,Den,SG,19,56,19.9,41.5,21.1,0.131,81,0.877,232,0.453,218,0.33,0.512,8.9,2.5,7.1,1.8,12.9,0.46,0.34,6.9
Jameer Nelson,Den,PG,34,56,26.3,54.8,16.5,0.174,45,0.733,258,0.484,198,0.384,0.537,9.1,2.4,5.1,5,26.8,0.64,0.09,7.3
James Ennis III,Mem,SF,26,44,25.4,52.9,13.2,0.147,84,0.786,138,0.522,104,0.413,0.608,7.7,4.2,9.4,1,6.1,0.77,0.34,5
James Harden,Hou,PG,27,58,36.6,76.3,34.5,0.197,637,0.852,570,0.521,527,0.353,0.615,29.2,8.3,12.5,11.3,50.7,1.45,0.47,15.3
James Johnson,Mia,PF,29,52,26.6,55.3,21.5,0.175,138,0.71,321,0.558,170,0.353,0.576,12.2,5,10.3,3.3,19.8,0.88,1.1,8.8
James Jones,Cle,SF,36,35,6.8,14.2,13.2,0.097,14,0.643,15,0.4,44,0.568,0.737,2.7,0.6,4.8,0.2,4.2,0.06,0.2,4
James Michael McAdoo,Gol,PF,24,29,9.1,19.1,13.5,0.145,16,0.5,61,0.607,3,0,0.577,2.8,1.5,9.1,0.4,5.9,0.24,0.52,5.2
James Young,Bos,SG,21,20,7.7,16,14,0.042,7,0.714,22,0.545,21,0.429,0.608,2.8,1.1,8,0.2,3.9,0.25,0.05,4.4
JaMychal Green,Mem,PF,26,56,28.5,59.5,14.2,0.143,129,0.798,269,0.532,106,0.368,0.586,9,7.3,14.5,1.2,6.8,0.71,0.52,6
Jared Dudley,Pho,PF,31,40,20.7,43.1,13.7,0.16,41,0.634,90,0.556,118,0.432,0.617,7,3.3,8.9,1.6,11.2,0.6,0.23,6.4
Jared Sullinger,Tor,PF,24,11,10.7,22.3,20.6,0.073,8,0.5,29,0.414,18,0.167,0.366,3.4,2.5,12.9,0.3,3.7,0.36,0.09,5.1
Jarell Martin,Mem,PF,22,40,13.4,28,16.2,0.141,48,0.792,118,0.381,26,0.346,0.469,3.9,3.9,16.4,0.2,2,0.38,0.2,4.3
Jason Smith,Was,C,30,53,13.4,27.9,16.8,0.155,36,0.667,192,0.547,21,0.476,0.577,5,3.3,13.8,0.3,3.7,0.28,0.68,5.1
Jason Terry,Mil,SG,39,47,17.1,35.6,9.4,0.125,16,0.813,38,0.395,102,0.412,0.575,3.6,1.1,3.9,1.4,10.8,0.55,0.3,4.1
JaVale McGee,Gol,C,29,51,9.6,19.9,23.8,0.115,68,0.471,205,0.688,3,0,0.66,6.2,3,17.4,0.2,4,0.24,0.69,6.5
Jaylen Brown,Bos,SF,20,53,15.5,32.3,18,0.112,86,0.721,186,0.473,69,0.304,0.514,5.7,2.6,9.3,0.6,6.1,0.42,0.25,5.3
